pvpTypename,battleType,usedtime,eventtime,mapName,dataBlue,dataRed,myPlayCamp,heroUrl,equipmentUrl,equiDetailUrl,sNum,banHeroInfo,h5TeamAnaParam,tarRoleSimpleInfo,hideDetail,strategyInfo,similarMatchInfo,analyseUrl,msdkToken,BlueScore,RedScore,eolType,win,eolRight,BlueGrade,RedGrade,gradeType,gradeTrue,fiveCampData,acntcampList,
5v5,5,12,2020/7/15 23:27,王者峡谷,"{'killCnt': 28, 'deadCnt': 9, 'assistCnt': 25, 'ldragonCnt': 1, 'bdragonCnt': 0, 'money': 40889, 'multiCampRank': 0}","{'killCnt': 9, 'deadCnt': 28, 'assistCnt': 15, 'ldragonCnt': 1, 'bdragonCnt': 0, 'money': 30943, 'multiCampRank': 0}",red,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,[],"{'gameSeq': '1594826740', 'relaySvrEntity': '823722243', 'gameSvrEntity': '53306', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '武汉ES.Cat', 'tipsContent': '孙膑的大招可以沉默敌人打断敌人技能，注意看好时机', 'userId': 0, 'roleId': 0, 'sceneID': 3}","{'newGrow': 7328, 'newBattle': 10742, 'newSurvive': 10576, 'newHurtHero': 9511, 'newKDA': 11015, 'roleName': '喜芒芒莓莓', 'userId': None}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594826740&relaysvrentity=823722243&gamesvrentity=53306&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,IdtN0ueB,229355,226040,掉分局,lose,TRUE,97,73,掉分局,TRUE,,,124
5v5,5,26,2020/7/16 0:24,王者峡谷,"{'killCnt': 35, 'deadCnt': 28, 'assistCnt': 43, 'ldragonCnt': 1, 'bdragonCnt': 2, 'money': 81879, 'multiCampRank': 0}","{'killCnt': 28, 'deadCnt': 35, 'assistCnt': 58, 'ldragonCnt': 0, 'bdragonCnt': 0, 'money': 76638, 'multiCampRank': 0}",blue,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,[],"{'gameSeq': '1594830157', 'relaySvrEntity': '-2129133308', 'gameSvrEntity': '45015', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '重庆QG.770', 'tipsContent': '廉颇使用1、2、3技能都可以触发被动霸体效果免疫一切控制', 'userId': 0, 'roleId': 0, 'sceneID': 3}","{'newGrow': 11279, 'newBattle': 10992, 'newSurvive': 9475, 'newHurtHero': 10735, 'newKDA': 10677, 'roleName': '夷陵魏无羡ㄝ', 'userId': 411856167}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594830157&relaysvrentity=-2129133308&gamesvrentity=45015&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,6w7DmO9U,276889,236772,上分局,win,TRUE,97,72,上分局,TRUE,,,181
5v5,5,29,2020/7/15 23:41,王者峡谷,"{'killCnt': 48, 'deadCnt': 47, 'assistCnt': 54, 'ldragonCnt': 2, 'bdragonCnt': 0, 'money': 85493, 'multiCampRank': 0}","{'killCnt': 47, 'deadCnt': 48, 'assistCnt': 73, 'ldragonCnt': 0, 'bdragonCnt': 2, 'money': 91687, 'multiCampRank': 0}",blue,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,[],"{'gameSeq': '1594827611', 'relaySvrEntity': '1880686851', 'gameSvrEntity': '53417', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '小妲己', 'tipsContent': '孙悟空加速移动时会有一次技能抵挡的效果，要小心哦！', 'userId': 0, 'roleId': 0, 'sceneID': 5}","{'newGrow': 11723, 'newBattle': 10755, 'newSurvive': 11623, 'newHurtHero': 12000, 'newKDA': 11512, 'roleName': '长安归故里iI', 'userId': 540307325}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594827611&relaysvrentity=1880686851&gamesvrentity=53417&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,Qa7gc5UV,228082,251503,掉分局,win,FALSE,80,97,掉分局,FALSE,,,0.406557377
5v5,5,12,2020/7/15 23:27,王者峡谷,"{'killCnt': 28, 'deadCnt': 9, 'assistCnt': 25, 'ldragonCnt': 1, 'bdragonCnt': 0, 'money': 40889, 'multiCampRank': 0}","{'killCnt': 9, 'deadCnt': 28, 'assistCnt': 15, 'ldragonCnt': 1, 'bdragonCnt': 0, 'money': 30943, 'multiCampRank': 0}",red,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,[],"{'gameSeq': '1594826740', 'relaySvrEntity': '823722243', 'gameSvrEntity': '53306', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '武汉ES.Cat', 'tipsContent': '孙膑的大招可以沉默敌人打断敌人技能，注意看好时机', 'userId': 0, 'roleId': 0, 'sceneID': 3}","{'newGrow': 7328, 'newBattle': 10742, 'newSurvive': 10576, 'newHurtHero': 9511, 'newKDA': 11015, 'roleName': '喜芒芒莓莓', 'userId': None}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594826740&relaysvrentity=823722243&gamesvrentity=53306&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,0wd2AFET,229355,226040,掉分局,lose,TRUE,97,73,掉分局,TRUE,,,
5v5,5,18,2020/7/15 23:06,王者峡谷,"{'killCnt': 35, 'deadCnt': 21, 'assistCnt': 48, 'ldragonCnt': 1, 'bdragonCnt': 1, 'money': 64593, 'multiCampRank': 0}","{'killCnt': 21, 'deadCnt': 35, 'assistCnt': 32, 'ldragonCnt': 1, 'bdragonCnt': 0, 'money': 52223, 'multiCampRank': 0}",red,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,[],"{'gameSeq': '1594825519', 'relaySvrEntity': '-1474821373', 'gameSvrEntity': '53401', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '虎牙童子', 'tipsContent': '赵云使用1技能后，普攻会造成减速效果，是非常好的追击技能哦。', 'userId': 0, 'roleId': 0, 'sceneID': 3}","{'newGrow': 11519, 'newBattle': 11950, 'newSurvive': 11400, 'newHurtHero': 12000, 'newKDA': 12000, 'roleName': '?为?哥?', 'userId': None}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594825519&relaysvrentity=-1474821373&gamesvrentity=53401&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,iJCNAdnx,222014,261839,上分局,lose,FALSE,66,86,上分局,FALSE,,,
5v5,5,19,2020/7/15 22:45,王者峡谷,"{'killCnt': 38, 'deadCnt': 28, 'assistCnt': 49, 'ldragonCnt': 2, 'bdragonCnt': 2, 'money': 63696, 'multiCampRank': 0}","{'killCnt': 28, 'deadCnt': 38, 'assistCnt': 50, 'ldragonCnt': 0, 'bdragonCnt': 0, 'money': 54033, 'multiCampRank': 0}",red,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,[],"{'gameSeq': '1594824224', 'relaySvrEntity': '1444413699', 'gameSvrEntity': '53009', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '小妲己', 'tipsContent': '尽量依靠走位躲避老夫子的钩子，不要单独与他正面作战，', 'userId': 0, 'roleId': 0, 'sceneID': 5}","{'newGrow': 11626, 'newBattle': 11429, 'newSurvive': 11489, 'newHurtHero': 10623, 'newKDA': 11679, 'roleName': '我大号黄金@', 'userId': None}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594824224&relaysvrentity=1444413699&gamesvrentity=53009&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,DqAcpO9i,202154,210999,上分局,lose,FALSE,50,81,上分局,FALSE,,,
5v5,5,21,2020/7/15 20:01,王者峡谷,"{'killCnt': 27, 'deadCnt': 13, 'assistCnt': 49, 'ldragonCnt': 2, 'bdragonCnt': 1, 'money': 69577, 'multiCampRank': 0}","{'killCnt': 13, 'deadCnt': 27, 'assistCnt': 26, 'ldragonCnt': 0, 'bdragonCnt': 0, 'money': 58972, 'multiCampRank': 0}",red,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,[],"{'gameSeq': '1594814393', 'relaySvrEntity': '1679426051', 'gameSvrEntity': '51585', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '小妲己', 'tipsContent': '牛魔2、3技能均有击飞效果，配合起来使用可以提供持久控制。', 'userId': 0, 'roleId': 0, 'sceneID': 3}","{'newGrow': 8917, 'newBattle': 11326, 'newSurvive': 8142, 'newHurtHero': 7016, 'newKDA': 10212, 'roleName': '明真碳骚年团', 'userId': 2125153798}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594814393&relaysvrentity=1679426051&gamesvrentity=51585&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,CIbyH4uQ,259368,228476,掉分局,lose,TRUE,100,87,掉分局,TRUE,,,
5v5,16,13,2020/7/15 19:38,排位赛,"{'killCnt': 18, 'deadCnt': 11, 'assistCnt': 29, 'ldragonCnt': 2, 'bdragonCnt': 1, 'money': 42540, 'multiCampRank': 0}","{'killCnt': 11, 'deadCnt': 18, 'assistCnt': 22, 'ldragonCnt': 0, 'bdragonCnt': 0, 'money': 35294, 'multiCampRank': 0}",red,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,"{'camp1': [{'heroId': '184', 'campId': '1', 'heroIcon': 'http://shp.qpic.cn/tgos/8951/efe1ffab64e8353a3902fdbfff99e0e6/0'}, {'heroId': '513', 'campId': '1', 'heroIcon': 'http://shp.qpic.cn/tgos/3375/ed46429c9d07a40af82ca8da712b48f5/0'}], 'camp2': [{'heroId': '508', 'campId': '2', 'heroIcon': 'http://shp.qpic.cn/tgos/7224/97fe29801a7ccfaeacf8d225221e26d3/0'}, {'heroId': '131', 'campId': '2', 'heroIcon': 'http://shp.qpic.cn/tgos/33574/7ef719b6228bd987671fdec3fe71aaeb/0'}]}","{'gameSeq': '1594812912', 'relaySvrEntity': '622330371', 'gameSvrEntity': '51127', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '小棉花', 'tipsContent': '辉月经常忘记用？可以试试出个炙热支配者', 'userId': 0, 'roleId': 0, 'sceneID': 3}","{'newGrow': 10700, 'newBattle': 10887, 'newSurvive': 11597, 'newHurtHero': 12000, 'newKDA': 11946, 'roleName': '轨婳@', 'userId': None}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594812912&relaysvrentity=622330371&gamesvrentity=51127&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,tPNsf95H,260649,259703,掉分局,lose,TRUE,68,71,上分局,FALSE,,,
5v5,16,18,2020/7/15 19:14,排位赛,"{'killCnt': 42, 'deadCnt': 26, 'assistCnt': 74, 'ldragonCnt': 1, 'bdragonCnt': 2, 'money': 58205, 'multiCampRank': 0}","{'killCnt': 24, 'deadCnt': 42, 'assistCnt': 31, 'ldragonCnt': 1, 'bdragonCnt': 0, 'money': 50960, 'multiCampRank': 0}",red,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,"{'camp1': [{'heroId': '167', 'campId': '1', 'heroIcon': 'http://shp.qpic.cn/tgos/7408/4fa886de819280ba7301c10423e0287c/0'}, {'heroId': '109', 'campId': '1', 'heroIcon': 'http://shp.qpic.cn/tgos/8017/7d5de40cb089bfe12587f4dd2fed93d3/0'}], 'camp2': [{'heroId': '513', 'campId': '2', 'heroIcon': 'http://shp.qpic.cn/tgos/3375/ed46429c9d07a40af82ca8da712b48f5/0'}, {'heroId': '508', 'campId': '2', 'heroIcon': 'http://shp.qpic.cn/tgos/7224/97fe29801a7ccfaeacf8d225221e26d3/0'}]}","{'gameSeq': '1594811485', 'relaySvrEntity': '18482179', 'gameSvrEntity': '51098', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '小妲己', 'tipsContent': '吕布是一个行动迟缓的英雄，利用这一点，远程消耗吕布，不要近身肉搏', 'userId': 0, 'roleId': 0, 'sceneID': 5}","{'newGrow': 6735, 'newBattle': 9741, 'newSurvive': 10595, 'newHurtHero': 8138, 'newKDA': 11684, 'roleName': '♀香菇包子', 'userId': None}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594811485&relaysvrentity=18482179&gamesvrentity=51098&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,AEl7cWSZ,254626,231985,掉分局,lose,TRUE,71,73,上分局,FALSE,,,
5v5,16,15,2020/7/15 18:55,排位赛,"{'killCnt': 32, 'deadCnt': 28, 'assistCnt': 47, 'ldragonCnt': 1, 'bdragonCnt': 1, 'money': 49023, 'multiCampRank': 0}","{'killCnt': 28, 'deadCnt': 32, 'assistCnt': 41, 'ldragonCnt': 0, 'bdragonCnt': 0, 'money': 41849, 'multiCampRank': 0}",red,https://camp.qq.com/h5/webdist/hero-detail.html?isNavigationBarHidden=1&heroid=*,http://ossweb-img.qq.com/images/bangbang/mobile/wzry/equip/*.png?v=1,https://h5.kohsocialapp.qq.com/app/yxzj/equip/equipdetail_small/,0,"{'camp1': [{'heroId': '184', 'campId': '1', 'heroIcon': 'http://shp.qpic.cn/tgos/8951/efe1ffab64e8353a3902fdbfff99e0e6/0'}, {'heroId': '175', 'campId': '1', 'heroIcon': 'http://shp.qpic.cn/tgos/201703m3/d9f7b6d3b6633c605c41c2785c0c3d3f/0'}], 'camp2': [{'heroId': '508', 'campId': '2', 'heroIcon': 'http://shp.qpic.cn/tgos/7224/97fe29801a7ccfaeacf8d225221e26d3/0'}, {'heroId': '501', 'campId': '2', 'heroIcon': 'http://shp.qpic.cn/tgos/21757/724c3846c9c3ce6014c9770fb2c76686/0'}]}","{'gameSeq': '1594810351', 'relaySvrEntity': '1561854979', 'gameSvrEntity': '51051', 'playerID': '242079734'}","{'roleIcon': 'https://wx.qlogo.cn/mmhead/Q3auHgzwzM4Wjyeb64Xib51q6AOiadWbsMwWRAERrwFmcvR0GlRzkqGQ/96', 'job': 14, 'userId': 1886577950, 'roleName': '清兵啊别打团', 'roleId': 2386193908, 'playerId': '242079734'}",0,"{'strStrategySrc': '虎牙心态', 'tipsContent': '顺风压制敌方防御塔，逆风留控制技能保护我方输出C位', 'userId': 0, 'roleId': 0, 'sceneID': 3}","{'newGrow': 9321, 'newBattle': 11191, 'newSurvive': 10607, 'newHurtHero': 11847, 'newKDA': 11530, 'roleName': '!1马珍>7', 'userId': None}",https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594810351&relaysvrentity=1561854979&gamesvrentity=51051&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,ZJKE1hfG,285405,255820,掉分局,lose,TRUE,90,96,上分局,FALSE,,,
