dteventtime,哪队赢,gametime,击杀,死亡,助攻,赢输,MVP,FMVP,英雄ID,队伍,几排,mapName,detailUrl,pvpType,branchEvaluate,巅峰赛原积分,巅峰赛新积分,三杀,游戏时间,超神,一血,段位,段位星星,评价,analyseUrl,battleDetailUrl,evaluateUrl,英雄头像
1594831844,2,2020/7/16 0:24,10,1,6,1,0,0,105,2,1,王者峡谷,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=45015&relaySvrId=-2129133308&gameseq=1594830157&pvptype=5,5,0,0,0,0,1577,0,1,永恒钻石II,3,实力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594830157&relaysvrentity=-2129133308&gamesvrentity=45015&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=45015&relaySvrId=-2129133308&gameSeq=1594830157&pvpType=5&acntCamp=2&battleType=5,,http://shp.qpic.cn/tgos/6674/88e11089198ba3a0540ecb171491d287/0
1594829446,2,2020/7/15 23:41,14,8,12,1,0,0,193,2,1,王者峡谷,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=53417&relaySvrId=1880686851&gameseq=1594827611&pvptype=5,5,0,0,0,0,1754,0,0,永恒钻石II,3,实力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594827611&relaysvrentity=1880686851&gamesvrentity=53417&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=53417&relaySvrId=1880686851&gameSeq=1594827611&pvpType=5&acntCamp=2&battleType=5,,http://shp.qpic.cn/tgos/15601/c60e93e52074330cbd3e9d16a77ab7fd/0
1594827571,1,2020/7/15 23:27,1,4,4,2,0,0,118,2,1,王者峡谷,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=53306&relaySvrId=823722243&gameseq=1594826740&pvptype=5,5,0,0,0,0,730,0,0,永恒钻石II,3,,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594826740&relaysvrentity=823722243&gamesvrentity=53306&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=53306&relaySvrId=823722243&gameSeq=1594826740&pvpType=5&acntCamp=2&battleType=5,,http://shp.qpic.cn/tgos/9072/d53123dde87827470ca4db48d91f2503/0
1594826685,2,2020/7/15 23:06,7,7,6,2,0,0,107,1,1,王者峡谷,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=53401&relaySvrId=-1474821373&gameseq=1594825519&pvptype=5,5,0,0,0,0,1080,0,0,永恒钻石II,3,,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594825519&relaysvrentity=-1474821373&gamesvrentity=53401&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=53401&relaySvrId=-1474821373&gameSeq=1594825519&pvpType=5&acntCamp=1&battleType=5,,http://shp.qpic.cn/tgos/243/14ac3c259ac858dde097b68e8f64ea44/0
1594825481,2,2020/7/15 22:45,7,6,7,2,0,0,106,1,1,王者峡谷,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=53009&relaySvrId=1444413699&gameseq=1594824224&pvptype=5,5,0,0,0,0,1154,0,0,永恒钻石II,3,尽力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594824224&relaysvrentity=1444413699&gamesvrentity=53009&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=53009&relaySvrId=1444413699&gameSeq=1594824224&pvpType=5&acntCamp=1&battleType=5,,http://shp.qpic.cn/tgos/7229/35c95856f5d5b11906f4f060c8e0e6b8/0
1594815778,1,2020/7/15 20:01,1,5,11,2,0,0,168,2,1,王者峡谷,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=51585&relaySvrId=1679426051&gameseq=1594814393&pvptype=5,5,0,0,0,0,1286,0,0,永恒钻石II,3,尽力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594814393&relaysvrentity=1679426051&gamesvrentity=51585&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=51585&relaySvrId=1679426051&gameSeq=1594814393&pvpType=5&acntCamp=2&battleType=5,,http://shp.qpic.cn/tgos/201703m3/f55c6124c5ec84453e63cdc768d2653a/0
1594813893,1,2020/7/15 19:38,5,2,3,2,0,1,106,2,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=51127&relaySvrId=622330371&gameseq=1594812912&pvptype=5,5,4,0,0,0,803,0,0,永恒钻石II,3,尽力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594812912&relaysvrentity=622330371&gamesvrentity=51127&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=51127&relaySvrId=622330371&gameSeq=1594812912&pvpType=5&acntCamp=2&battleType=16,http://camp.qq.com/meta-data/evaluate/silver_mage_1.png,http://shp.qpic.cn/tgos/7229/35c95856f5d5b11906f4f060c8e0e6b8/0
1594812716,2,2020/7/15 19:14,1,9,15,2,0,0,168,1,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=51098&relaySvrId=18482179&gameseq=1594811485&pvptype=5,5,0,0,0,0,1052,0,0,永恒钻石II,4,,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594811485&relaysvrentity=18482179&gamesvrentity=51098&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=51098&relaySvrId=18482179&gameSeq=1594811485&pvpType=5&acntCamp=1&battleType=16,,http://shp.qpic.cn/tgos/201703m3/f55c6124c5ec84453e63cdc768d2653a/0
1594811423,2,2020/7/15 18:55,6,5,11,2,0,0,114,1,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=51051&relaySvrId=1561854979&gameseq=1594810351&pvptype=5,5,10,0,0,0,881,0,0,永恒钻石I,0,尽力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594810351&relaysvrentity=1561854979&gamesvrentity=51051&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=51051&relaySvrId=1561854979&gameSeq=1594810351&pvpType=5&acntCamp=1&battleType=16,http://camp.qq.com/meta-data/evaluate/silver_support_1.png,http://shp.qpic.cn/tgos/5826/dcfd6b775be0c688912c2a7c8d92d4df/0
1594727064,2,2020/7/14 19:28,8,3,8,1,1,0,107,2,1,王者峡谷,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=43649&relaySvrId=504955651&gameseq=1594726023&pvptype=5,5,8,0,0,0,927,0,0,永恒钻石I,1,实力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1594726023&relaysvrentity=504955651&gamesvrentity=43649&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=43649&relaySvrId=504955651&gameSeq=1594726023&pvpType=5&acntCamp=2&battleType=5,http://camp.qq.com/meta-data/evaluate/silver_warrior_1.png,http://shp.qpic.cn/tgos/243/14ac3c259ac858dde097b68e8f64ea44/0
